tipo_contribuyente,monto_impuesto,monto_pagado,deuda_acumulada,anios_moroso,frecuencia_pago,meses_retraso_promedio,num_notificaciones,respondio_notificacion,fraccionamiento,ultimo_pago,nivel_riesgo
Persona natural,168.65,168.65,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,289.65,289.65,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,243.72,243.72,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,215.72,215.72,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,122.76,122.76,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,122.76,0.0,356.61,2,Con retraso,3.4,3,No,Si,2024,Medio
Persona natural,102.2,0.0,335.73,5,Con retraso,1.8,3,No,No,2024,Alto
Persona natural,271.9,271.9,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,216.23,216.23,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,238.7,0.0,702.37,1,Con retraso,5.4,2,No,No,2024,Alto
Persona natural,94.32,94.32,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,293.68,293.68,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,264.81,264.81,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,134.59,0.0,377.53,5,Con retraso,3.3,2,No,No,2024,Alto
Persona natural,128.18,128.18,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,128.51,0.0,512.15,2,Con retraso,3.4,3,No,Si,2024,Alto
Persona natural,153.89,0.0,240.31,4,Con retraso,1.4,1,Si,No,2024,Alto
Persona natural,200.2,200.2,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,180.71,0.0,667.34,1,Con retraso,3.5,2,Si,Si,2024,Alto
Persona natural,151.16,151.16,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,218.49,218.49,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,119.29,0.0,206.39,3,Con retraso,4.9,2,No,Si,2024,Alto
Persona natural,151.35,0.0,546.93,5,Con retraso,2.1,1,No,No,2024,Alto
Persona natural,166.94,166.94,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,185.77,185.77,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,254.89,0.0,457.16,1,Con retraso,2.6,3,Si,Si,2024,Medio
Persona natural,131.93,131.93,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,197.99,0.0,473.0,3,Con retraso,5.1,2,Si,No,2024,Alto
Persona natural,214.41,214.41,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,99.75,99.75,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,217.58,217.58,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,125.81,125.81,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,103.66,103.66,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,289.27,289.27,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,292.78,292.78,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,259.76,259.76,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,153.97,153.97,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,110.51,0.0,271.69,5,Con retraso,4.7,3,Si,Si,2024,Alto
Persona natural,233.69,0.0,433.9,2,Con retraso,1.7,2,Si,No,2024,Medio
Persona natural,182.43,0.0,456.25,5,Con retraso,4.9,1,Si,No,2024,Alto
Persona natural,115.63,115.63,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,193.99,193.99,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,97.22,0.0,277.94,5,Con retraso,4.5,1,No,No,2024,Alto
Persona natural,280.96,280.96,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,144.34,144.34,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,229.13,229.13,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,155.46,155.46,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,199.21,199.21,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,204.81,204.81,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,128.82,128.82,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,293.61,293.61,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,252.78,252.78,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,287.29,287.29,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,277.91,0.0,609.84,2,Con retraso,4.8,3,Si,No,2024,Alto
Persona natural,215.56,0.0,706.28,3,Con retraso,1.3,3,Si,No,2024,Alto
Persona natural,283.59,283.59,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,108.58,108.58,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,131.16,131.16,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
