@relation 'dataset_pangoa_nosupervisado'

@attribute tipo_contribuyente {'Persona juridica','Persona natural'}
@attribute monto_impuesto numeric
@attribute monto_pagado numeric
@attribute deuda_acumulada numeric
@attribute anios_moroso numeric
@attribute frecuencia_pago {'Con retraso','Nunca paga'}
@attribute meses_retraso_promedio numeric
@attribute num_notificaciones numeric
@attribute respondio_notificacion {Si,No}
@attribute fraccionamiento {No,Si}

@data
'Persona juridica',42899.76,10734.94,0,0,'Con retraso',0,0,Si,No
'Persona natural',39844.46,0,10129.5,1,'Nunca paga',0,0,No,No
'Persona juridica',21250.32,5322.58,0,0,'Con retraso',0,0,Si,No
'Persona juridica',16932,0,4310.3,1,'Nunca paga',0,0,No,No
'Persona juridica',13366.3,0,3404.71,1,'Nunca paga',0,0,No,No
'Persona natural',11834.74,0,3015.73,1,'Nunca paga',0,0,No,No
'Persona natural',11472.78,0,2923.8,1,'Nunca paga',24,1,No,No
'Persona juridica',11025.76,0,2810.27,1,'Nunca paga',0,0,No,No
'Persona juridica',10679.89,0,2722.43,1,'Nunca paga',0,0,No,No
'Persona juridica',10609.67,2680.28,0,0,'Con retraso',0,0,Si,No
'Persona natural',10407.4,0,2653.22,1,'Nunca paga',24,1,No,No
'Persona natural',9423.41,2365.86,0,0,'Con retraso',0,1,Si,No
'Persona juridica',8861.7,2225.43,0,0,'Con retraso',0,0,Si,No
'Persona natural',8521.7,0,2174.3,1,'Nunca paga',0,1,No,No
'Persona natural',8424.27,0,2149.56,1,'Nunca paga',24,1,No,No
'Persona natural',8266.29,2090.76,0,0,'Con retraso',0,0,Si,No
'Persona natural',7963.2,0,2032.45,1,'Nunca paga',0,0,No,No
'Persona natural',7882.72,0,2012.01,1,'Nunca paga',24,1,No,No
'Persona natural',7615.01,0,1944.03,1,'Nunca paga',0,1,No,No
'Persona natural',7224.32,0,1844.8,1,'Nunca paga',24,1,No,No
'Persona natural',7193.53,0,1836.98,1,'Nunca paga',24,1,No,No
'Persona natural',7109.32,0,1815.59,1,'Nunca paga',24,1,No,No
'Persona natural',7073.24,0,1806.43,1,'Nunca paga',24,1,No,No
'Persona juridica',7053.25,1783.95,0,0,'Con retraso',0,0,Si,No
'Persona natural',6756.24,0,1725.92,1,'Nunca paga',24,1,No,No
'Persona natural',6721.84,0,1717.18,1,'Nunca paga',24,1,No,No
'Persona natural',6629.32,0,1693.68,1,'Nunca paga',24,1,No,No
